country,year,renewables_consumption,renewables_share_energy,population
Austria,1965,47.557,25.096,7269892.0
Austria,1966,51.248,25.84,7320920.0
Austria,1967,52.333,26.119,7375632.0
Austria,1968,53.773,25.099,7413813.0
Austria,1969,49.435,22.275,7439324.0
Austria,1970,62.953,24.77,7465310.0
Austria,1971,49.737,19.652,7498548.0
Austria,1972,51.119,19.524,7542083.0
Austria,1973,56.801,20.177,7584024.0
Austria,1974,67.16,23.735,7597028.0
Austria,1975,70.362,25.034,7576929.0
Austria,1976,60.812,20.905,7563509.0
Austria,1977,73.691,25.271,7566357.0
Austria,1978,73.75,24.245,7560248.0
Austria,1979,83.082,25.784,7547482.0
Austria,1980,86.078,26.826,7547564.0
Austria,1981,91.215,29.281,7566318.0
Austria,1982,91.36,30.32,7571291.0
Austria,1983,90.502,30.118,7559110.0
Austria,1984,79.394,26.69,7558564.0
Austria,1985,94.013,29.769,7562114.0
Austria,1986,95.493,30.178,7567247.0
Austria,1987,107.533,32.194,7572379.0
Austria,1988,107.736,32.733,7583766.0
Austria,1989,107.264,32.409,7619393.0
Austria,1990,96.819,29.003,7678732.0
Austria,1991,96.891,27.731,7755640.0
Austria,1992,107.289,31.117,7840816.0
Austria,1993,112.886,32.03,7905280.0
Austria,1994,109.454,31.326,7935366.0
Austria,1995,115.542,31.426,7947293.0
Austria,1996,106.268,28.286,7958043.0
Austria,1997,112.291,29.506,7967086.0
Austria,1998,115.913,29.779,7975856.0
Austria,1999,125.601,31.976,7991382.0
Austria,2000,128.793,32.592,8010425.0
Austria,2001,124.694,30.668,8039633.0
Austria,2002,122.887,30.206,8078994.0
Austria,2003,102.896,25.238,8120105.0
Austria,2004,115.225,27.275,8171215.0
Austria,2005,118.601,27.495,8227034.0
Austria,2006,119.788,28.128,8267771.0
Austria,2007,127.069,30.25,8294720.0
Austria,2008,130.646,30.772,8321134.0
Austria,2009,138.428,33.782,8342939.0
Austria,2010,132.009,31.314,8362829.0
Austria,2011,119.971,30.306,8391201.0
Austria,2012,148.198,35.762,8429641.0
Austria,2013,145.067,35.309,8479542.0
Austria,2014,143.357,36.303,8546066.0
Austria,2015,135.858,34.274,8642422.0
Austria,2016,144.627,35.305,8736491.0
Austria,2017,143.877,34.456,8797497.0
Austria,2018,140.335,34.362,8840518.0
Austria,2019,151.81,35.473,8879939.0
Austria,2020,152.81,38.189,8907780.0
Austria,2021,145.502,35.835,8922086.0
Austria,2022,136.97,36.067,8939617.0
Austria,2023,154.233,40.08,8958961.0
Belarus,1985,0.059,0.014,10133217.0
Belarus,1986,0.059,0.013,10201675.0
Belarus,1987,0.059,0.013,10270610.0
Belarus,1988,0.059,0.012,10333484.0
Belarus,1989,0.059,0.013,10387611.0
Belarus,1990,0.059,0.013,10428527.0
Belarus,1991,0.053,0.011,10457619.0
Belarus,1992,0.05,0.012,10475912.0
Belarus,1993,0.056,0.017,10480485.0
Belarus,1994,0.056,0.02,10475397.0
Belarus,1995,0.059,0.024,10461694.0
Belarus,1996,0.047,0.018,10436455.0
Belarus,1997,0.062,0.024,10400926.0
Belarus,1998,0.083,0.033,10357472.0
Belarus,1999,0.056,0.023,10308281.0
Belarus,2000,0.08,0.031,10256489.0
Belarus,2001,0.088,0.036,10201212.0
Belarus,2002,0.085,0.033,10135391.0
Belarus,2003,0.081,0.032,10065881.0
Belarus,2004,0.098,0.034,9999713.0
Belarus,2005,0.106,0.037,9935166.0
Belarus,2006,0.109,0.036,9874700.0
Belarus,2007,0.146,0.05,9825990.0
Belarus,2008,0.3,0.1,9787829.0
Belarus,2009,0.556,0.197,9757710.0
Belarus,2010,0.786,0.257,9731426.0
Belarus,2011,0.749,0.249,9706983.0
Belarus,2012,0.856,0.263,9693754.0
Belarus,2013,0.928,0.315,9691143.0
Belarus,2014,0.898,0.304,9693741.0
